desi,dir,oper,veh,tst,tsi,spd,hdg,lat,long,acc,dl,odo,drst,oday,jrn,line,start,loc,stop,route,occu,event,tst_collected
88,2,22,1359,2025-05-18T12:58:23.251Z,1747573103,0.71,9,60.177873,25.050722,-0.67,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:23.201777
88,1,22,1365,2025-05-18T12:58:23.256Z,1747573103,0.48,52,60.195082,25.030853,0.48,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:23.203400
88,1,22,1366,2025-05-18T12:58:23.751Z,1747573103,8.05,358,60.17004,25.018561,-0.05,178,5809,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:23.695770
88,2,22,1359,2025-05-18T12:58:24.254Z,1747573104,0.1,9,60.177876,25.050722,-0.61,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:24.184333
88,1,22,1365,2025-05-18T12:58:24.256Z,1747573104,1.21,51,60.195087,25.030865,0.73,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:24.195825
88,1,22,1366,2025-05-18T12:58:24.751Z,1747573104,8.11,359,60.170111,25.018564,0.07,178,5814,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:24.782118
88,1,22,1365,2025-05-18T12:58:25.256Z,1747573105,1.92,49,60.195096,25.030888,0.7,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:25.309910
88,2,22,1359,2025-05-18T12:58:25.251Z,1747573105,0.0,9,60.177876,25.050723,-0.1,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:25.311536
88,1,22,1366,2025-05-18T12:58:25.751Z,1747573105,8.16,1,60.170184,25.018568,0.05,178,5824,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:25.752600
88,2,22,1359,2025-05-18T12:58:26.258Z,1747573106,0.0,9,60.177876,25.050723,-0.0,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:26.435708
88,1,22,1365,2025-05-18T12:58:26.255Z,1747573106,2.5,47,60.195109,25.030918,0.58,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:26.437412
